ranking,comment_time,usefule_num
4,2016/12/7,0
3,2016/12/6,3
5,2016/10/8,0
5,2016/12/10,3
4,2016/12/6,0
3,2016/10/18,1
4,2016/12/7,1
3,2017/1/3,0
4,2017/6/14,0
4,2016/12/2,0
3,2016/12/6,2
4,2016/9/24,1
4,2016/12/3,0
5,2016/12/4,6
4,2016/9/18,1
3,2016/12/8,0
5,2016/12/5,2
5,2016/12/2,3
4,2017/4/29,0
5,2016/12/6,0
5,2016/9/18,1
,2016/12/4,7
3,2016/12/2,10
4,2016/12/8,2
3,2016/12/5,2
5,2016/12/2,2
3,2016/12/4,2
3,2016/12/30,1
5,2016/12/4,1
3,2016/12/6,1
3,2016/12/5,6
4,2016/10/17,1
5,2016/12/30,0
4,2016/12/3,0
4,2016/12/29,1
4,2016/12/6,0
3,2016/12/3,1
5,2017/8/26,0
5,2016/12/4,2
4,2016/9/23,0
4,2017/3/29,0
5,2017/8/18,0
4,2016/12/4,2
5,2016/12/3,4
4,2017/6/8,0
4,2016/12/5,1
4,2016/12/4,1
4,2016/11/7,0
3,2016/11/20,4
1,2016/12/8,1
4,2016/12/13,1
5,2016/12/3,2
3,2016/12/14,0
5,2016/12/2,3
4,2016/12/6,0
4,2016/11/19,4
4,2016/12/7,0
3,2016/12/7,1
4,2016/10/19,0
4,2016/12/18,0
3,2016/9/18,0
2,2016/12/5,0
5,2016/9/16,1
2,2016/12/3,3
5,2016/12/2,5
4,2016/12/3,1
5,2016/11/12,1
3,2016/12/5,3
3,2016/12/4,4
3,2016/12/6,7
5,2016/12/9,0
1,2017/3/19,0
3,2016/12/2,2
4,2016/12/5,0
5,2016/12/6,2
5,2016/12/7,6
3,2016/9/10,3
4,2017/1/1,0
4,2016/12/2,2
5,2016/9/21,1
3,2016/12/31,0
4,2016/9/15,2
4,2016/11/20,2
5,2016/12/7,0
,2016/12/11,1
5,2016/12/5,2
5,2016/12/7,2
4,2016/12/20,0
,2017/2/15,0
4,2016/12/3,1
4,2016/12/2,1
5,2016/12/3,0
3,2016/12/20,2
3,2016/10/7,4
4,2016/12/3,1
2,2016/12/21,2
5,2017/8/9,2
3,2016/8/26,4
3,2017/1/9,1
1,2016/12/9,1
5,2016/12/10,0
2,2017/7/5,0
3,2016/12/2,13
5,2016/11/18,0
5,2016/12/5,2
5,2016/9/21,6
4,2016/12/6,3
1,2016/12/5,3
,2016/12/5,0
4,2016/12/9,0
4,2017/2/2,0
3,2016/9/18,8
5,2016/12/21,1
4,2016/12/3,7
4,2016/12/2,2
3,2016/12/4,3
4,2016/12/2,1
3,2017/8/17,0
4,2016/10/13,2
4,2016/12/2,2
3,2016/12/2,0
